fiscal_year,year,month,month_name,season,store_name,category,price_band,channel,bills,units,revenue,gross_margin
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Accessories,Value,WhatsApp Order,37,42,18729.36,8615.51
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,60,73,93587.97,29012.31
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,Online,19,25,37364.97,11583.13
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,Walk-in,175,205,305046.02,94564.33
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,51,60,88067.51,27300.95
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,49,60,179758.44,61117.87
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,Online,20,21,63897.47,21725.15
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,Walk-in,141,169,517402.23,175916.8
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,56,63,218917.86,74432.08
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,Exhibition Stall,34,45,44308.4,18166.42
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,Online,8,10,11097.77,4550.08
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,Walk-in,87,103,101092.78,41448.06
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,WhatsApp Order,24,29,30337.93,12438.54
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,Exhibition Stall,57,65,149666.81,56873.41
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,Online,21,28,64916.4,24668.22
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,Walk-in,109,142,336597.45,127907.02
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,WhatsApp Order,32,43,102084.37,38792.06
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,15,19,222612.19,53426.93
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,Online,12,14,188986.9,45356.86
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,Walk-in,63,71,950394.35,228094.65
FY2024-25,2024,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,24,27,353134.87,84752.37
FY2024-25,2024,9,September,Pre-festive,RS Puram,Accessories,Value,Exhibition Stall,34,43,16188.1,7446.53
FY2024-25,2024,9,September,Pre-festive,RS Puram,Accessories,Value,Online,11,11,4829.31,2221.48
FY2024-25,2024,9,September,Pre-festive,RS Puram,Accessories,Value,Walk-in,90,113,45496.28,20928.27
FY2024-25,2024,9,September,Pre-festive,RS Puram,Accessories,Value,WhatsApp Order,24,27,11119.05,5114.77
FY2024-25,2024,9,September,Pre-festive,RS Puram,Cotton Saree,Value,Exhibition Stall,44,50,69872.29,21660.42
FY2024-25,2024,9,September,Pre-festive,RS Puram,Cotton Saree,Value,Online,12,15,21972.59,6811.5
FY2024-25,2024,9,September,Pre-festive,RS Puram,Cotton Saree,Value,Walk-in,115,142,206370.65,63974.95
FY2024-25,2024,9,September,Pre-festive,RS Puram,Cotton Saree,Value,WhatsApp Order,31,38,57234.92,17742.82
FY2024-25,2024,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,Exhibition Stall,47,56,165757.84,56357.68
FY2024-25,2024,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,Online,9,12,32821.17,11159.2
FY2024-25,2024,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,Walk-in,92,103,309650.19,105281.1
FY2024-25,2024,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,WhatsApp Order,31,38,126464.2,42997.83
FY2024-25,2024,9,September,Pre-festive,RS Puram,Kids Wear,Value,Exhibition Stall,21,26,23781.02,9750.23
FY2024-25,2024,9,September,Pre-festive,RS Puram,Kids Wear,Value,Online,6,8,8128.86,3332.83
FY2024-25,2024,9,September,Pre-festive,RS Puram,Kids Wear,Value,Walk-in,65,87,78690.19,32262.98
FY2024-25,2024,9,September,Pre-festive,RS Puram,Kids Wear,Value,WhatsApp Order,9,9,9350.47,3833.69
FY2024-25,2024,9,September,Pre-festive,RS Puram,Readymade,Mid,Exhibition Stall,34,43,98790.52,37540.44
FY2024-25,2024,9,September,Pre-festive,RS Puram,Readymade,Mid,Online,13,16,40503.3,15391.27
FY2024-25,2024,9,September,Pre-festive,RS Puram,Readymade,Mid,Walk-in,94,115,256425.85,97441.81
FY2024-25,2024,9,September,Pre-festive,RS Puram,Readymade,Mid,WhatsApp Order,30,32,75075.62,28528.73
FY2024-25,2024,9,September,Pre-festive,RS Puram,Silk Saree,Premium,Exhibition Stall,19,20,248293.19,59590.35
FY2024-25,2024,9,September,Pre-festive,RS Puram,Silk Saree,Premium,Online,9,12,151948.37,36467.6
FY2024-25,2024,9,September,Pre-festive,RS Puram,Silk Saree,Premium,Walk-in,56,69,900351.6,216084.41
FY2024-25,2024,9,September,Pre-festive,RS Puram,Silk Saree,Premium,WhatsApp Order,11,13,160122.69,38429.43
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Accessories,Value,Exhibition Stall,45,57,22624.13,10407.1
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Accessories,Value,Online,16,18,6984.3,3212.79
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Accessories,Value,Walk-in,158,190,74587.65,34310.29
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Accessories,Value,WhatsApp Order,48,56,21770.32,10014.35
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,97,119,163599.36,50715.83
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,Online,43,50,72532.04,22484.97
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,Walk-in,265,313,439576.14,136268.62
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,67,78,108292.51,33570.7
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,99,120,352203.2,119749.06
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,Online,34,45,131264.63,44629.99
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,Walk-in,252,309,937765.49,318840.25
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,87,110,342525.92,116458.81
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,Exhibition Stall,36,39,30732.64,12600.37
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,Online,23,26,23704.89,9718.97
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,Walk-in,113,129,127424.22,52243.92
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,WhatsApp Order,33,40,37384.78,15327.77
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Readymade,Mid,Exhibition Stall,66,84,162475.72,61740.81
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Readymade,Mid,Online,26,37,78216.72,29722.36
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Readymade,Mid,Walk-in,191,240,523192.55,198813.15
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Readymade,Mid,WhatsApp Order,51,62,142430.13,54123.47
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,47,56,699001.01,167760.25
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,Online,15,20,266050.33,63852.09
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,Walk-in,111,123,1435017.21,344404.16
FY2024-25,2024,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,39,49,646956.26,155269.53
FY2024-25,2024,10,October,Deepavali,RS Puram,Accessories,Value,Exhibition Stall,45,53,19857.13,9134.29
FY2024-25,2024,10,October,Deepavali,RS Puram,Accessories,Value,Online,15,20,7096.35,3264.31
FY2024-25,2024,10,October,Deepavali,RS Puram,Accessories,Value,Walk-in,126,163,68679.61,31592.62
FY2024-25,2024,10,October,Deepavali,RS Puram,Accessories,Value,WhatsApp Order,28,37,15273.71,7025.9
FY2024-25,2024,10,October,Deepavali,RS Puram,Cotton Saree,Value,Exhibition Stall,71,85,111411.18,34537.48
FY2024-25,2024,10,October,Deepavali,RS Puram,Cotton Saree,Value,Online,16,19,27934.36,8659.64
FY2024-25,2024,10,October,Deepavali,RS Puram,Cotton Saree,Value,Walk-in,163,194,288261.73,89361.11
FY2024-25,2024,10,October,Deepavali,RS Puram,Cotton Saree,Value,WhatsApp Order,35,43,56491.72,17512.43
FY2024-25,2024,10,October,Deepavali,RS Puram,Fancy Saree,Mid,Exhibition Stall,61,77,220948.07,75122.38
FY2024-25,2024,10,October,Deepavali,RS Puram,Fancy Saree,Mid,Online,28,29,91797.8,31211.25
FY2024-25,2024,10,October,Deepavali,RS Puram,Fancy Saree,Mid,Walk-in,186,223,665889.59,226402.53
FY2024-25,2024,10,October,Deepavali,RS Puram,Fancy Saree,Mid,WhatsApp Order,40,44,145417.42,49441.92
FY2024-25,2024,10,October,Deepavali,RS Puram,Kids Wear,Value,Exhibition Stall,24,32,25786.51,10572.46
FY2024-25,2024,10,October,Deepavali,RS Puram,Kids Wear,Value,Online,10,13,12781.93,5240.57
FY2024-25,2024,10,October,Deepavali,RS Puram,Kids Wear,Value,Walk-in,76,90,86842.12,35605.23
FY2024-25,2024,10,October,Deepavali,RS Puram,Kids Wear,Value,WhatsApp Order,29,38,35838.3,14693.69
FY2024-25,2024,10,October,Deepavali,RS Puram,Readymade,Mid,Exhibition Stall,39,51,101510.55,38574.02
FY2024-25,2024,10,October,Deepavali,RS Puram,Readymade,Mid,Online,15,16,34451.69,13091.64
FY2024-25,2024,10,October,Deepavali,RS Puram,Readymade,Mid,Walk-in,131,166,374029.79,142131.28
FY2024-25,2024,10,October,Deepavali,RS Puram,Readymade,Mid,WhatsApp Order,34,39,83363.03,31677.93
FY2024-25,2024,10,October,Deepavali,RS Puram,Silk Saree,Premium,Exhibition Stall,19,21,265086.71,63620.84
FY2024-25,2024,10,October,Deepavali,RS Puram,Silk Saree,Premium,Online,12,16,192098.26,46103.58
FY2024-25,2024,10,October,Deepavali,RS Puram,Silk Saree,Premium,Walk-in,89,106,1284350.43,308244.1
FY2024-25,2024,10,October,Deepavali,RS Puram,Silk Saree,Premium,WhatsApp Order,27,31,387748.73,93059.68
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Accessories,Value,Exhibition Stall,48,55,22832.13,10502.76
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Accessories,Value,Online,23,26,8822.13,4058.17
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Accessories,Value,Walk-in,157,187,73589.54,33851.17
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Accessories,Value,WhatsApp Order,47,58,23722.52,10912.36
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,83,94,123449.91,38269.5
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,Online,21,24,34661.64,10745.13
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,Walk-in,223,264,374969.11,116240.44
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,67,83,119382.01,37008.41
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,92,110,336393.46,114373.78
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,Online,22,28,86176.24,29299.93
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,Walk-in,239,279,859496.22,292228.78
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,68,76,233405.34,79357.8
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,Exhibition Stall,38,45,42269.8,17330.63
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,Online,14,15,13766.22,5644.15
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,Walk-in,96,121,115926.57,47529.86
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,WhatsApp Order,31,38,35375.5,14503.94
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Readymade,Mid,Exhibition Stall,57,70,135392.45,51449.1
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Readymade,Mid,Online,18,22,50966.44,19367.27
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Readymade,Mid,Walk-in,175,215,455663.85,173152.24
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Readymade,Mid,WhatsApp Order,52,61,123516.4,46936.22
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,40,56,647937.48,155505.0
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,Online,14,18,245863.16,59007.15
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,Walk-in,117,148,1838560.35,441254.58
FY2024-25,2024,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,39,40,506240.36,121497.7
FY2024-25,2024,11,November,Deepavali,RS Puram,Accessories,Value,Exhibition Stall,40,49,18716.7,8609.66
FY2024-25,2024,11,November,Deepavali,RS Puram,Accessories,Value,Online,15,20,7734.46,3557.86
FY2024-25,2024,11,November,Deepavali,RS Puram,Accessories,Value,Walk-in,100,127,54865.43,25238.07
FY2024-25,2024,11,November,Deepavali,RS Puram,Accessories,Value,WhatsApp Order,30,38,13755.75,6327.64
FY2024-25,2024,11,November,Deepavali,RS Puram,Cotton Saree,Value,Exhibition Stall,50,54,70261.94,21781.18
FY2024-25,2024,11,November,Deepavali,RS Puram,Cotton Saree,Value,Online,18,20,25207.58,7814.32
FY2024-25,2024,11,November,Deepavali,RS Puram,Cotton Saree,Value,Walk-in,169,209,293711.0,91050.47
FY2024-25,2024,11,November,Deepavali,RS Puram,Cotton Saree,Value,WhatsApp Order,54,62,88149.53,27326.33
FY2024-25,2024,11,November,Deepavali,RS Puram,Fancy Saree,Mid,Exhibition Stall,58,73,210977.52,71732.39
FY2024-25,2024,11,November,Deepavali,RS Puram,Fancy Saree,Mid,Online,18,20,62387.13,21211.6
FY2024-25,2024,11,November,Deepavali,RS Puram,Fancy Saree,Mid,Walk-in,150,173,521659.07,177364.1
FY2024-25,2024,11,November,Deepavali,RS Puram,Fancy Saree,Mid,WhatsApp Order,40,47,141505.05,48111.72
FY2024-25,2024,11,November,Deepavali,RS Puram,Kids Wear,Value,Exhibition Stall,27,32,26555.31,10887.7
FY2024-25,2024,11,November,Deepavali,RS Puram,Kids Wear,Value,Online,8,8,8820.65,3616.47
FY2024-25,2024,11,November,Deepavali,RS Puram,Kids Wear,Value,Walk-in,78,90,80918.34,33176.51
FY2024-25,2024,11,November,Deepavali,RS Puram,Kids Wear,Value,WhatsApp Order,29,35,34074.33,13970.5
FY2024-25,2024,11,November,Deepavali,RS Puram,Readymade,Mid,Exhibition Stall,39,42,78919.95,29989.58
FY2024-25,2024,11,November,Deepavali,RS Puram,Readymade,Mid,Online,12,16,34154.0,12978.52
FY2024-25,2024,11,November,Deepavali,RS Puram,Readymade,Mid,Walk-in,103,125,269216.29,102302.22
FY2024-25,2024,11,November,Deepavali,RS Puram,Readymade,Mid,WhatsApp Order,37,43,96554.83,36690.81
FY2024-25,2024,11,November,Deepavali,RS Puram,Silk Saree,Premium,Exhibition Stall,29,34,386315.66,92715.76
FY2024-25,2024,11,November,Deepavali,RS Puram,Silk Saree,Premium,Online,9,11,137103.71,32904.89
FY2024-25,2024,11,November,Deepavali,RS Puram,Silk Saree,Premium,Walk-in,56,66,798406.5,191617.55
FY2024-25,2024,11,November,Deepavali,RS Puram,Silk Saree,Premium,WhatsApp Order,12,12,146431.78,35143.62
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Accessories,Value,Exhibition Stall,42,50,20431.63,9398.54
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Accessories,Value,Online,18,19,6774.81,3116.4
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Accessories,Value,Walk-in,118,141,63035.43,28996.28
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Accessories,Value,WhatsApp Order,43,50,19294.48,8875.42
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,65,79,112840.82,34980.67
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,Online,16,21,26958.18,8357.03
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,Walk-in,158,200,287290.6,89060.02
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,60,72,104722.1,32463.88
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,51,62,188847.24,64208.08
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,Online,20,26,72694.29,24716.06
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,Walk-in,170,203,625280.85,212595.54
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,37,44,140562.27,47791.17
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Kids Wear,Value,Exhibition Stall,29,37,32541.64,13342.09
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Kids Wear,Value,Online,18,19,21553.48,8836.92
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Kids Wear,Value,Walk-in,90,105,105638.2,43311.66
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Kids Wear,Value,WhatsApp Order,24,28,26358.51,10806.99
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Readymade,Mid,Exhibition Stall,62,75,147579.32,56080.16
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Readymade,Mid,Online,21,24,50834.67,19317.16
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Readymade,Mid,Walk-in,141,170,384631.96,146160.19
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Readymade,Mid,WhatsApp Order,50,55,126266.86,47981.42
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,32,40,487740.61,117057.73
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,Online,10,10,134068.71,32176.48
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,Walk-in,90,108,1381120.06,331468.82
FY2024-25,2024,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,19,27,324952.61,77988.62
FY2024-25,2024,12,December,Year-end,RS Puram,Accessories,Value,Exhibition Stall,46,53,24103.99,11087.82
FY2024-25,2024,12,December,Year-end,RS Puram,Accessories,Value,Online,16,21,8579.56,3946.58
FY2024-25,2024,12,December,Year-end,RS Puram,Accessories,Value,Walk-in,84,105,42845.79,19709.09
FY2024-25,2024,12,December,Year-end,RS Puram,Accessories,Value,WhatsApp Order,28,30,13228.98,6085.35
FY2024-25,2024,12,December,Year-end,RS Puram,Cotton Saree,Value,Exhibition Stall,48,58,77332.05,23972.97
FY2024-25,2024,12,December,Year-end,RS Puram,Cotton Saree,Value,Online,21,27,42134.15,13061.59
FY2024-25,2024,12,December,Year-end,RS Puram,Cotton Saree,Value,Walk-in,146,178,253819.05,78683.94
FY2024-25,2024,12,December,Year-end,RS Puram,Cotton Saree,Value,WhatsApp Order,49,63,90765.79,28137.43
FY2024-25,2024,12,December,Year-end,RS Puram,Fancy Saree,Mid,Exhibition Stall,35,48,133989.77,45556.5
FY2024-25,2024,12,December,Year-end,RS Puram,Fancy Saree,Mid,Online,22,28,91973.48,31270.96
FY2024-25,2024,12,December,Year-end,RS Puram,Fancy Saree,Mid,Walk-in,111,137,434730.18,147808.29
FY2024-25,2024,12,December,Year-end,RS Puram,Fancy Saree,Mid,WhatsApp Order,32,32,104860.17,35652.47
FY2024-25,2024,12,December,Year-end,RS Puram,Kids Wear,Value,Exhibition Stall,30,43,39822.1,16327.06
FY2024-25,2024,12,December,Year-end,RS Puram,Kids Wear,Value,Online,5,7,6113.4,2506.5
FY2024-25,2024,12,December,Year-end,RS Puram,Kids Wear,Value,Walk-in,48,57,57772.44,23686.66
FY2024-25,2024,12,December,Year-end,RS Puram,Kids Wear,Value,WhatsApp Order,13,19,20008.55,8203.5
FY2024-25,2024,12,December,Year-end,RS Puram,Readymade,Mid,Exhibition Stall,28,34,74404.28,28273.61
FY2024-25,2024,12,December,Year-end,RS Puram,Readymade,Mid,Online,22,26,57106.74,21700.55
FY2024-25,2024,12,December,Year-end,RS Puram,Readymade,Mid,Walk-in,99,112,256486.83,97465.01
FY2024-25,2024,12,December,Year-end,RS Puram,Readymade,Mid,WhatsApp Order,27,32,66908.8,25425.34
FY2024-25,2024,12,December,Year-end,RS Puram,Silk Saree,Premium,Exhibition Stall,15,19,241531.8,57967.64
FY2024-25,2024,12,December,Year-end,RS Puram,Silk Saree,Premium,Online,11,13,161529.63,38767.12
FY2024-25,2024,12,December,Year-end,RS Puram,Silk Saree,Premium,Walk-in,45,53,617750.83,148260.2
FY2024-25,2024,12,December,Year-end,RS Puram,Silk Saree,Premium,WhatsApp Order,9,11,120374.51,28889.88
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Accessories,Value,Exhibition Stall,54,64,25291.97,11634.31
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Accessories,Value,Online,13,17,7388.68,3398.79
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Accessories,Value,Walk-in,174,214,92646.94,42617.58
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Accessories,Value,WhatsApp Order,50,58,24756.96,11388.21
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,89,106,147022.47,45576.94
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,Online,40,50,71151.31,22056.93
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,Walk-in,238,304,440939.5,136691.25
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,81,104,142710.98,44240.43
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,71,89,263118.51,89460.29
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,Online,34,39,114041.59,38774.15
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,Walk-in,196,229,739829.03,251541.88
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,67,81,263482.66,89584.1
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Kids Wear,Value,Exhibition Stall,59,65,61652.59,25277.55
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Kids Wear,Value,Online,12,15,14736.62,6042.01
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Kids Wear,Value,Walk-in,125,144,143325.0,58763.23
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Kids Wear,Value,WhatsApp Order,38,45,40594.91,16643.92
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Readymade,Mid,Exhibition Stall,53,61,115666.71,43953.35
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Readymade,Mid,Online,22,24,53395.05,20290.13
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Readymade,Mid,Walk-in,177,215,489225.53,185905.7
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Readymade,Mid,WhatsApp Order,46,50,109054.87,41440.84
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,29,35,406235.96,97496.64
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,Online,14,16,181178.39,43482.81
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,Walk-in,80,98,1221253.71,293100.92
FY2024-25,2025,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,26,32,421559.26,101174.21
FY2024-25,2025,1,January,Pongal,RS Puram,Accessories,Value,Exhibition Stall,48,57,23514.72,10816.82
FY2024-25,2025,1,January,Pongal,RS Puram,Accessories,Value,Online,11,13,5510.19,2534.69
FY2024-25,2025,1,January,Pongal,RS Puram,Accessories,Value,Walk-in,113,146,58898.17,27093.15
FY2024-25,2025,1,January,Pongal,RS Puram,Accessories,Value,WhatsApp Order,26,28,11178.29,5142.0
FY2024-25,2025,1,January,Pongal,RS Puram,Cotton Saree,Value,Exhibition Stall,57,69,88382.83,27398.7
FY2024-25,2025,1,January,Pongal,RS Puram,Cotton Saree,Value,Online,21,24,31662.67,9815.42
FY2024-25,2025,1,January,Pongal,RS Puram,Cotton Saree,Value,Walk-in,154,184,269036.35,83401.36
FY2024-25,2025,1,January,Pongal,RS Puram,Cotton Saree,Value,WhatsApp Order,36,42,57432.03,17803.92
FY2024-25,2025,1,January,Pongal,RS Puram,Fancy Saree,Mid,Exhibition Stall,63,79,235113.11,79938.5
FY2024-25,2025,1,January,Pongal,RS Puram,Fancy Saree,Mid,Online,22,28,94048.25,31976.4
FY2024-25,2025,1,January,Pongal,RS Puram,Fancy Saree,Mid,Walk-in,139,158,502431.16,170826.58
FY2024-25,2025,1,January,Pongal,RS Puram,Fancy Saree,Mid,WhatsApp Order,52,58,189101.0,64294.33
FY2024-25,2025,1,January,Pongal,RS Puram,Kids Wear,Value,Exhibition Stall,28,32,30498.23,12504.28
FY2024-25,2025,1,January,Pongal,RS Puram,Kids Wear,Value,Online,14,19,18853.14,7729.78
FY2024-25,2025,1,January,Pongal,RS Puram,Kids Wear,Value,Walk-in,69,79,74217.73,30429.3
FY2024-25,2025,1,January,Pongal,RS Puram,Kids Wear,Value,WhatsApp Order,32,40,41432.66,16987.41
FY2024-25,2025,1,January,Pongal,RS Puram,Readymade,Mid,Exhibition Stall,44,50,107828.07,40974.66
FY2024-25,2025,1,January,Pongal,RS Puram,Readymade,Mid,Online,16,17,37612.17,14292.62
FY2024-25,2025,1,January,Pongal,RS Puram,Readymade,Mid,Walk-in,123,152,332348.08,126292.24
FY2024-25,2025,1,January,Pongal,RS Puram,Readymade,Mid,WhatsApp Order,26,27,66133.09,25130.58
FY2024-25,2025,1,January,Pongal,RS Puram,Silk Saree,Premium,Exhibition Stall,21,24,269991.25,64797.89
FY2024-25,2025,1,January,Pongal,RS Puram,Silk Saree,Premium,Online,12,14,181544.68,43570.73
FY2024-25,2025,1,January,Pongal,RS Puram,Silk Saree,Premium,Walk-in,55,69,860008.88,206402.11
FY2024-25,2025,1,January,Pongal,RS Puram,Silk Saree,Premium,WhatsApp Order,34,39,477549.07,114611.79
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,Exhibition Stall,26,28,11316.75,5205.69
FY2024-25,2025,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,Online,9,9,3570.34,1642.35
